?뵇 Checking synonyms accuracy...

?뱤 Total synonyms to check: 1000

Word 1                  | Word 2                  | ?숈쓽??
outcome                 | development             |
outstanding             | due                     |
outstanding             | mature                  |
outlet                  | escape                  |
outlet                  | release                 |
outlet                  | exit                    |
outlet                  | issue                   |
utmost                  | maximum                 |
utmost                  | extreme                 |
utmost                  | ultimate                |
record                  | account                 |
record                  | version                 |
record                  | narrative               |
research                | probe                   |
research                | inquiry                 |
research                | investigation           |
research                | exploration             |
research                | examination             |
research                | inspection              |
reveal                  | expose                  |
reveal                  | disclose                |
reveal                  | announce                |
reveal                  | share                   |
reveal                  | spill                   |
reveal                  | discover                |
reveal                  | uncover                 |
reveal                  | unveil                  |
remove                  | strip                   |
remove                  | put off                 |
remove                  | shed                    |
represent               | depict                  |
represent               | portray                 |
represent               | define                  |
represent               | identify                |
represent               | describe                |
represent               | indicate                |
represent               | categorize              |
represent               | classify                |
represent               | characterize            |
represent               | character               |
derive                  | deduce                  |
derive                  | reason                  |
derive                  | conclude                |
derive                  | infer                   |
derive                  | assume                  |
derive                  | understand              |
derive                  | decide                  |
derive                  | guess                   |
develop                 | progress                |
develop                 | proceed                 |
develop                 | evolve                  |
develop                 | elaborate               |
develop                 | emerge                  |
develop                 | mature                  |
develop                 | forge                   |
develop                 | unfold                  |
demonstrate             | uphold                  |
demonstrate             | confirm                 |
demonstrate             | establish               |
demonstrate             | sustain                 |
demonstrate             | justify                 |
demonstrate             | prove                   |
demonstrate             | document                |
demonstrate             | verify                  |
prospect                | perspective             |
prospect                | view                    |
prospect                | command                 |
prospect                | sight                   |
prospect                | landscape               |
prospect                | outlook                 |
abstract                | mental                  |
abstract                | ideal                   |
abstract                | spiritual               |
abstract                | intellectual            |
abstract                | theoretical             |
abstract                | speculative             |
abstract                | conceptual              |
midst                   | core                    |
midst                   | interior                |
midst                   | amid                    |
distract                | entertain               |
distract                | abstract                |
distract                | amuse                   |
distract                | wander                  |
distract                | divert                  |
distract                | detract                 |
distract                | stray                   |
treat                   | view                    |
treat                   | regard                  |
treat                   | use                     |
treat                   | consider                |
treat                   | serve                   |
treat                   | handle                  |
retreat                 | retirement              |
retreat                 | withdrawal              |
trail                   | trace                   |
trail                   | track                   |
trail                   | route                   |
trail                   | path                    |
trail                   | pathway                 |
generate                | produce                 |
generate                | create                  |
generate                | induce                  |
generate                | cause                   |
generate                | yield                   |
generate                | spawn                   |
generate                | prompt                  |
general                 | overall                 |
general                 | common                  |
general                 | broad                   |
general                 | universal               |
general                 | extensive               |
general                 | global                  |
general                 | widespread              |
general                 | generic                 |
gentle                  | smooth                  |
gentle                  | peaceful                |
gentle                  | delicate                |
gentle                  | benign                  |
congenital              | regular                 |
congenital              | native                  |
congenital              | proper                  |
congenital              | habitual                |
depict                  | define                  |
depict                  | describe                |
depict                  | render                  |
depict                  | characterize            |
depict                  | delineate               |
forefather              | ancestor                |
forefather              | predecessor             |
foresee                 | predict                 |
foresee                 | anticipate              |
foresee                 | foretell                |
foresee                 | envision                |
former                  | once                    |
overcome                | conquer                 |
overcome                | master                  |
overcome                | defeat                  |
overcome                | surmount                |
overcome                | beat                    |
overlook                | command                 |
overlook                | dominate                |
overlook                | observatory             |
overlook                | outlook                 |
overwhelm               | overcome                |
overwhelm               | oppress                 |
overwhelm               | disturb                 |
overwhelm               | crush                   |
overwhelm               | drown                   |
overwhelm               | overpower               |
overwhelm               | swamp                   |
overwhelm               | devastate               |
overall                 | general                 |
overall                 | common                  |
overall                 | broad                   |
overall                 | universal               |
overall                 | global                  |
overall                 | widespread              |
overall                 | generic                 |
overtake                | surpass                 |
overtake                | pursue                  |
overtake                | chase                   |
overtake                | reach                   |
overflow                | flood                   |
overflow                | stream                  |
overflow                | tide                    |
overflow                | influx                  |
overflow                | avalanche               |
extraordinary           | outstanding             |
extraordinary           | unusual                 |
extraordinary           | abnormal                |
extraordinary           | unique                  |
extraordinary           | rare                    |
extraordinary           | odd                     |
extraordinary           | remarkable              |
extraordinary           | exceptional             |
extraordinary           | uncommon                |
external                | irrelevant              |
external                | alien                   |
external                | foreign                 |
external                | extraneous              |
external                | accidental              |
external                | extrinsic               |
external                | exterior                |
undergo                 | suffer                  |
undergo                 | receive                 |
undergo                 | sustain                 |
undergo                 | experience              |
undergo                 | witness                 |
undergo                 | endure                  |
undergraduate           | sophomore               |
undergraduate           | scholar                 |
undergraduate           | pupil                   |
international           | foreign                 |
transform               | replace                 |
transform               | convert                 |
transform               | alter                   |
transform               | modify                  |
transform               | metamorphose            |
explore                 | investigate             |
explore                 | research                |
explore                 | examine                 |
explore                 | inspect                 |
explore                 | view                    |
explore                 | scan                    |
explicit                | specific                |
explicit                | express                 |
explicit                | complete                |
explicit                | literal                 |
explicit                | definite                |
explicit                | comprehensive           |
explicit                | unambiguous             |
explicit                | definitive              |
exchange                | barter                  |
exchange                | substitution            |
exchange                | trade                   |
exchange                | deal                    |
exchange                | swap                    |
dialect                 | vocabulary              |
misfortune              | adversity               |
misfortune              | accident                |
misfortune              | tragedy                 |
misfortune              | disaster                |
misfortune              | trouble                 |
unfortunate             | destructive             |
unfortunate             | disastrous              |
unfortunate             | fatal                   |
unfortunate             | fateful                 |
unfortunate             | catastrophic            |
unfortunate             | ruinous                 |
unbearable              | intense                 |
unbearable              | terrible                |
unbearable              | extreme                 |
unbearable              | overwhelming            |
unbearable              | harsh                   |
disorder                | mess                    |
disorder                | confusion               |
dispose                 | position                |
dispose                 | deposit                 |
dispose                 | locate                  |
dispose                 | lay                     |
dispose                 | depose                  |
dispose                 | stick                   |
dispose                 | set                     |
dispose                 | situate                 |
discard                 | reject                  |
discard                 | rejection               |
discard                 | scrap                   |
discard                 | waste                   |
differ                  | separate                |
differ                  | contrast                |
differ                  | vary                    |
differ                  | divide                  |
undertake               | uphold                  |
undertake               | embrace                 |
undertake               | accept                  |
undertake               | adopt                   |
undertake               | assume                  |
undertake               | bear                    |
undertake               | take over               |
undertake               | endorse                 |
underlying              | fundamental             |
underlying              | basic                   |
underlying              | beginning               |
underlying              | essential               |
underlying              | rudimentary             |
underlying              | elementary              |
underlying              | simple                  |
interfere               | mess                    |
interfere               | intrude                 |
interfere               | intervene               |
expand                  | develop                 |
expand                  | complement              |
expand                  | supplement              |
expand                  | amplify                 |
explain                 | illustrate              |
explain                 | demonstrate             |
explain                 | interpret               |
explain                 | simplify                |
explain                 | clarify                 |
explain                 | elucidate               |
explain                 | construe                |
explain                 | illuminate              |
exhaust                 | weary                   |
exhaust                 | fatigue                 |
exhaust                 | waste                   |
exhaust                 | drain                   |
escape                  | move                    |
escape                  | avoid                   |
escape                  | exit                    |
escape                  | flee                    |
escape                  | evade                   |
escape                  | leave                   |
misleading              | ambiguous               |
misleading              | false                   |
misleading              | deceptive               |
misleading              | delusive                |
misleading              | deceitful               |
uneasy                  | upset                   |
uneasy                  | tense                   |
uneasy                  | anxious                 |
uneasy                  | nervous                 |
uneasy                  | hesitant                |
unlikely                | doubtful                |
unlikely                | impossible              |
unlikely                | odd                     |
unlikely                | questionable            |
unlikely                | bizarre                 |
unlikely                | dubious                 |
unlikely                | improbable              |
disagree                | debate                  |
disagree                | differ                  |
disagree                | resist                  |
disagree                | object                  |
disagree                | protest                 |
disagree                | conflict                |
disagree                | argue                   |
disagree                | dissent                 |
discount                | decline                 |
discount                | deduction               |
discount                | reduction               |
discount                | loss                    |
display                 | exhibit                 |
display                 | performance             |
display                 | production              |
display                 | demonstration           |
display                 | exposition              |
display                 | exhibition              |
display                 | presentation            |
display                 | fair                    |
disability              | damage                  |
disability              | injury                  |
disability              | harm                    |
disability              | malady                  |
independent             | free                    |
independent             | autonomous              |
independent             | self-sufficient         |
telescope               | compress                |
telescope               | contract                |
telescope               | squeeze                 |
telescope               | condense                |
telescope               | compact                 |
telescope               | consolidate             |
immoral                 | vile                    |
immoral                 | unlawful                |
immoral                 | vicious                 |
superior                | arrogant                |
superior                | dominant                |
superior                | important               |
superficial             | external                |
superficial             | surface                 |
superficial             | shallow                 |
sovereign               | foremost                |
sovereign               | primary                 |
sovereign               | principal               |
sovereign               | chief                   |
sovereign               | predominant             |
sovereign               | central                 |
sovereign               | dominant                |
sovereign               | main                    |
submarine               | underwater              |
submarine               | aquatic                 |
support                 | reinforcement           |
support                 | foundation              |
support                 | shore                   |
support                 | mount                   |
support                 | stay                    |
support                 | brace                   |
support                 | spur                    |
support                 | pillar                  |
antibiotic              | cure                    |
antibiotic              | prescription            |
antibiotic              | antiseptic              |
antibiotic              | remedy                  |
antibiotic              | medication              |
antique                 | ancient                 |
antique                 | medieval                |
antique                 | archaic                 |
antique                 | prehistoric             |
special                 | unique                  |
special                 | sole                    |
special                 | solitary                |
special                 | distinctive             |
differ                  | diverge                 |
differ                  | deviate                 |
differ                  | fluctuate               |
inexpensive             | popular                 |
inexpensive             | reasonable              |
inexpensive             | budget                  |
inexpensive             | affordable              |
illegal                 | criminal                |
illegal                 | illicit                 |
illegal                 | unlawful                |
irrational              | misleading              |
irrational              | absurd                  |
irrational              | foolish                 |
irrational              | unreasonable            |
irrational              | weak                    |
superb                  | great                   |
superb                  | terrific                |
superb                  | wonderful               |
superb                  | fabulous                |
surface                 | exterior                |
upside                  | current                 |
upside                  | curve                   |
upside                  | trend                   |
upside                  | shift                   |
upside                  | direction               |
upside                  | tide                    |
upside                  | swing                   |
suggest                 | imply                   |
suggest                 | refer                   |
suggest                 | infer                   |
suggest                 | indicate                |
suggest                 | mention                 |
suggest                 | intimate                |
suggest                 | signify                 |
suggest                 | hint                    |
suggest                 | allude                  |
suppress                | silence                 |
suppress                | stifle                  |
suppress                | censor                  |
anticipate              | predict                 |
anticipate              | foresee                 |
anticipate              | await                   |
anticipate              | expect                  |
anticipate              | view                    |
anticipate              | look forward to         |
anticipate              | envision                |
ancient                 | antique                 |
ancient                 | medieval                |
ancient                 | archaic                 |
ancient                 | prehistoric             |
combine                 | connect                 |
combine                 | unify                   |
combine                 | unite                   |
combine                 | associate               |
combine                 | couple                  |
combine                 | coalesce                |
combine                 | fuse                    |
combine                 | join                    |
company                 | cast                    |
company                 | associate               |
company                 | bond                    |
company                 | troop                   |
complain                | scream                  |
complain                | growl                   |
complain                | mutter                  |
complain                | grumble                 |
complain                | moan                    |
compress                | simplify                |
compress                | cram                    |
compress                | squeeze                 |
compress                | condense                |
compress                | compact                 |
compress                | consolidate             |
confirm                 | support                 |
confirm                 | prove                   |
confirm                 | argue                   |
confirm                 | validate                |
confirm                 | attest                  |
confirm                 | authenticate            |
confirm                 | verify                  |
confront                | encounter               |
confront                | withstand               |
confront                | resist                  |
confront                | defy                    |
confront                | dare                    |
confront                | brave                   |
collapse                | melt                    |
collapse                | shatter                 |
collapse                | die                     |
collapse                | crumple                 |
abnormal                | outstanding             |
abnormal                | extraordinary           |
abnormal                | unusual                 |
abnormal                | unique                  |
abnormal                | rare                    |
abnormal                | odd                     |
abnormal                | remarkable              |
abnormal                | exceptional             |
abnormal                | uncommon                |
separate                | various                 |
separate                | individual              |
separate                | diverse                 |
separate                | distinct                |
separate                | different               |
separate                | respective              |
separate                | distinctive             |
separate                | dissimilar              |
select                  | designate               |
select                  | prefer                  |
select                  | elect                   |
enforce                 | effect                  |
enforce                 | apply                   |
enforce                 | implement               |
enforce                 | administer              |
enforce                 | invoke                  |
enforce                 | execute                 |
enforce                 | fulfill                 |
enforce                 | enact                   |
entitle                 | enable                  |
entitle                 | qualify                 |
entitle                 | privilege               |
entitle                 | permit                  |
entitle                 | approve                 |
entitle                 | license                 |
entitle                 | allow                   |
entitle                 | authorize               |
entitle                 | empower                 |
enclose                 | include                 |
enclose                 | confine                 |
enclose                 | surround                |
compile                 | accumulate              |
compile                 | revise                  |
compile                 | assemble                |
compile                 | collect                 |
compile                 | edit                    |
compile                 | gather                  |
compile                 | amass                   |
compose                 | cast                    |
compose                 | prepare                 |
compose                 | frame                   |
compose                 | make                    |
compose                 | formulate               |
compose                 | craft                   |
compose                 | put together            |
compose                 | draft                   |
connect                 | combine                 |
connect                 | integrate               |
connect                 | couple                  |
connect                 | string                  |
connect                 | link                    |
connect                 | join                    |
correspond              | telegraph               |
correspond              | post                    |
correspond              | communicate             |
correspond              | reply                   |
absorb                  | swallow                 |
absolute                | arbitrary               |
secure                  | protect                 |
secure                  | prevent                 |
secure                  | guard                   |
secure                  | defend                  |
secure                  | fence                   |
secure                  | shield                  |
enable                  | qualify                 |
enable                  | permit                  |
enable                  | prepare                 |
enable                  | approve                 |
enable                  | allow                   |
enable                  | ready                   |
enable                  | endorse                 |
enable                  | equip                   |
enable                  | empower                 |
enhance                 | enrich                  |
enhance                 | perfect                 |
enhance                 | refine                  |
enhance                 | improve                 |
enhance                 | upgrade                 |
enhance                 | remedy                  |
enhance                 | amend                   |
ensure                  | secure                  |
ensure                  | guarantee               |
ensure                  | promise                 |
ensure                  | assure                  |
ensure                  | insure                  |
encounter               | confront                |
embrace                 | grab                    |
embrace                 | grasp                   |
embrace                 | hold                    |
embrace                 | wrap                    |
embrace                 | cling                   |
persist                 | persevere               |
persist                 | carry on                |
perspective             | view                    |
perspective             | opinion                 |
perspective             | angle                   |
engage                  | occupy                  |
engage                  | attract                 |
engage                  | involve                 |
engage                  | grip                    |
engage                  | fascinate               |
engage                  | intrigue                |
engage                  | interest                |
engage                  | engross                 |
engage                  | immerse                 |
permanent               | fade                    |
persevere               | persist                 |
persevere               | carry on                |
abroad                  | afloat                  |
arouse                  | stimulate               |
arouse                  | provoke                 |
arouse                  | excite                  |
arouse                  | awake                   |
arouse                  | stir                    |
contrary                | negative                |
contrary                | hostile                 |
contrary                | opposite                |
contrary                | adverse                 |
contrary                | contradictory           |
counterattack           | assault                 |
counterattack           | attack                  |
counterattack           | offensive               |
withdraw                | retire                  |
withdraw                | retreat                 |
withdraw                | flee                    |
withdraw                | recede                  |
withstand               | resist                  |
withstand               | oppose                  |
withstand               | contradict              |
withstand               | defy                    |
withstand               | challenge               |
withstand               | combat                  |
withstand               | repel                   |
accompany               | protect                 |
accompany               | company                 |
accompany               | attend                  |
accompany               | companion               |
accompany               | guide                   |
approach                | trail                   |
approach                | avenue                  |
approach                | route                   |
approach                | passage                 |
approach                | path                    |
approach                | artery                  |
telegraph               | correspond              |
telegraph               | post                    |
telegraph               | communicate             |
telegraph               | reply                   |
multiple                | public                  |
multiple                | mutual                  |
multiple                | joint                   |
multiple                | cooperative             |
multiple                | collective              |
multiple                | collaborative           |
multiple                | communal                |
monoculture             | culture                 |
monoculture             | agriculture             |
monoculture             | cultivation             |
unify                   | combine                 |
unify                   | unite                   |
unify                   | integrate               |
perspective             | standpoint              |
perspective             | viewpoint               |
perspective             | outlook                 |
alike                   | likewise                |
alike                   | similarly               |
alike                   | equally                 |
amaze                   | surprise                |
amaze                   | astonish                |
amaze                   | shock                   |
amaze                   | stun                    |
amaze                   | startle                 |
amaze                   | astound                 |
contrast                | difference              |
contrast                | distance                |
contrast                | disagreement            |
contrast                | diversity               |
contrast                | distinction             |
contrast                | disparity               |
contrast                | discrepancy             |
counterfeit             | false                   |
counterfeit             | imitation               |
counterfeit             | fake                    |
counterfeit             | ornamental              |
withhold                | prohibit                |
withhold                | reject                  |
withhold                | restrict                |
withhold                | decline                 |
withhold                | negative                |
withhold                | deny                    |
withhold                | refuse                  |
withhold                | forbid                  |
withhold                | disapprove              |
adjust                  | conform                 |
adjust                  | adapt                   |
adjust                  | accommodate             |
adjust                  | edit                    |
adjust                  | suit                    |
adjust                  | tailor                  |
adjust                  | prepare                 |
accustomed              | apt                     |
accustomed              | liable                  |
accustomed              | inclined                |
accustomed              | used                    |
accustomed              | experienced             |
accustomed              | given                   |
accustomed              | prone                   |
await                   | predict                 |
await                   | foresee                 |
await                   | anticipate              |
await                   | expect                  |
await                   | look forward to         |
geometry                | figure                  |
geometry                | design                  |
geometry                | form                    |
geometry                | cast                    |
geometry                | contour                 |
geometry                | silhouette              |
geometry                | configuration           |
geometry                | fashion                 |
multitude               | crowd                   |
multitude               | mass                    |
multitude               | flock                   |
multitude               | swarm                   |
unique                  | individual              |
unique                  | particular              |
unique                  | private                 |
unique                  | personal                |
unique                  | subjective              |
unique                  | distinctive             |
uniform                 | suit                    |
uniform                 | rig                     |
uniform                 | attire                  |
uniform                 | array                   |
duplicate               | similar                 |
duplicate               | equal                   |
duplicate               | equivalent              |
duplicate               | comparable              |
duplicate               | corresponding           |
duplicate               | identical               |
duplicate               | analogous               |
humility                | modesty                 |
attract                 | impress                 |
attract                 | inspire                 |
attract                 | fascinate               |
attract                 | charm                   |
attract                 | intrigue                |
attract                 | draw                    |
attract                 | entice                  |
attract                 | interest                |
contract                | treaty                  |
contract                | guarantee               |
contract                | vow                     |
contract                | bond                    |
contract                | assurance               |
contract                | deal                    |
contract                | pledge                  |
extract                 | remove                  |
treaty                  | contract                |
treaty                  | convention              |
treaty                  | accord                  |
treaty                  | settlement              |
treaty                  | alliance                |
treaty                  | deal                    |
treaty                  | compact                 |
track                   | trace                   |
track                   | trail                   |
track                   | sign                    |
track                   | residue                 |
track                   | reminder                |
track                   | path                    |
track                   | imprint                 |
portray                 | illustrate              |
portray                 | represent               |
portray                 | depict                  |
portray                 | describe                |
portray                 | render                  |
portray                 | characterize            |
portray                 | delineate               |
generous                | liberal                 |
generous                | benevolent              |
generous                | compassionate           |
generous                | charitable              |
generous                | bountiful               |
genetic                 | inherent                |
genetic                 | congenital              |
genetic                 | native                  |
genetic                 | innate                  |
genetic                 | hereditary              |
genetic                 | natural                 |
genetic                 | inborn                  |
unify                   | concentrate             |
unify                   | merge                   |
unify                   | compact                 |
unify                   | consolidate             |
balance                 | stability               |
balance                 | equilibrium             |
balance                 | offset                  |
twilight                | dusk                    |
twist                   | extraction              |
tribe                   | household               |
tribe                   | descendant              |
tribe                   | race                    |
tribe                   | kin                     |
tribe                   | clan                    |
trivial                 | minor                   |
trivial                 | trifling                |
trivial                 | inconsequential         |
trivial                 | frivolous               |
trivial                 | slight                  |
trivial                 | insignificant           |
manufacture             | produce                 |
manufacture             | create                  |
manufacture             | form                    |
manufacture             | construct               |
manufacture             | assemble                |
manufacture             | frame                   |
manufacture             | make                    |
manufacture             | fabricate               |
manufacture             | fashion                 |
faculty                 | instinct                |
faculty                 | function                |
faculty                 | capability              |
faculty                 | capacity                |
faculty                 | aptitude                |
faculty                 | power                   |
faculty                 | flair                   |
factor                  | agent                   |
factor                  | minister                |
factor                  | delegate                |
factor                  | representative          |
factor                  | manager                 |
factual                 | actual                  |
factual                 | literal                 |
factual                 | reliable                |
factual                 | historical              |
factual                 | objective               |
factual                 | documentary             |
factual                 | real                    |
effect                  | outcome                 |
effect                  | result                  |
effect                  | issue                   |
effect                  | consequence             |
effect                  | product                 |
effect                  | development             |
effect                  | implication             |
defect                  | fault                   |
defect                  | distortion              |
defect                  | mark                    |
defect                  | flaw                    |
defect                  | scar                    |
defect                  | deformity               |
deficient               | partial                 |
deficient               | halfway                 |
deficient               | fragmentary             |
sufficient              | adequate                |
sufficient              | satisfactory            |
sufficient              | reasonable              |
sufficient              | acceptable              |
fiction                 | fable                   |
fiction                 | novel                   |
fiction                 | invention               |
fiction                 | tale                    |
fiction                 | narrative               |
profit                  | income                  |
profit                  | revenue                 |
profit                  | net                     |
profit                  | return                  |
profit                  | earnings                |
qualify                 | twist                   |
qualify                 | alter                   |
qualify                 | modify                  |
qualify                 | distort                 |
qualify                 | narrow                  |
qualify                 | misrepresent            |
import                  | account                 |
import                  | moment                  |
import                  | value                   |
import                  | magnitude               |
import                  | consequence             |
import                  | weight                  |
